institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-C-C-35787,College,"Holy Cross College, Tiruchirappalli",2203,5903,209,5819,312,,,,240000,35634347,328441138,,,59.47,52.0,2024
IR-C-C-35825,College,Bishop Heber College,5212,12826,7258,5568,624,,,,204000,71094101,717923977,,,60.18,46.0,2024
IR-C-C-35832,College,"Jamal Mohamed College, Tiruchirappalli",4473,10450,6656,3794,562,,,,202176,43879390,693972064,,,55.67,84.0,2024
IR-C-C-35848,College,Government Arts College,1650,4339,2592,1757,202,,,,198000,460000,460956000,,,57.3,71.0,2024
IR-C-C-35860,College,"St. Joseph's College, Tiruchirappalli",2867,7236,5959,1277,325,,,,450000,35195182,523625915,,,66.59,25.0,2024
IR-C-C-35868,College,Dhanalakshmi Srinivasan College of Arts and Science for Women,1321,2939,3271,3271,183,,,,450000,87050238,196936068,,,61.5,40.0,2024
IR-C-C-35878,College,National College,2153,4670,3661,1009,262,,,,244000,3624576,274330989,,,,,2024
IR-C-C-36411,College,Sacred Heart College (Autonomous),1988,4588,2832,1756,226,,,,204000,12172300,185296274,,,56.54,80.0,2024
IR-C-C-36502,College,Virudhunagar Hindu Nadars Senthikumara Nadar College,1594,3539,2118,1421,209,,,,180000,7174596,336589209,,,,,2024
IR-C-C-36513,College,Thiagarajar College,1822,5085,2267,2818,261,,,,226000,16226340,308246031,,,68.93,20.0,2024
IR-C-C-36547,College,The American College,3764,9599,6784,2814,498,,,,200880,44964745,458721267,,,58.12,59.0,2024
IR-C-C-36579,College,Ayya Nadar Janaki Ammal College,1870,4594,2561,2033,247,,,,180000,10877411,244627474,,,57.27,72.0,2024
IR-C-C-41035,College,Government Arts College,2365,6467,3935,2532,302,,,,340000,1294650,498966512,,,57.49,67.0,2024
IR-C-C-41042,College,Dr. S. N. S. Rajalakshmi College of Arts and Science,1680,4426,1630,2796,236,,,,272000,40024265,189187989,,,,,2024
IR-C-C-41046,College,PSGR Krishnammal College for Women,3040,6620,8222,8222,507,,,,400000,65716195,618988340,,,75.52,9.0,2024
IR-C-C-41054,College,Dr. N. G. P. Arts and Science College,3176,6793,3482,3311,412,58.0,134.0,4.0,300000,45486166,381683786,,,57.56,66.0,2024
